id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1225191202150060033,Wed Feb 05 22:55:20 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Widdershins2018: @hodder_showcow As for artificial insemination I trust farmers more than plants.

#milk #dairy #cheese #torture #slaug…",As artificial insemination I trust farmers plants …,"Sentiment(polarity=-0.6, subjectivity=1.0)",-0.6,1.0,en,0,2,Widdershins2018,,"milk, dairy, cheese, torture","Widdershins2018, hodder_showcow",Currently I live in the state of defiance.,
1225190877464801280,Wed Feb 05 22:54:02 +0000 2020,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",#HumanDevelopment #harrassment #erectiledysfunction Encyclopedia yet novel like climax site wonders: Both #men &amp;… https://t.co/LepfZaOtdh,Encyclopedia climax site wonders Both amp …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,TopMostShop,False,"HumanDevelopment, harrassment, erectiledysfunction, men",,UK,
1225190322608713728,Wed Feb 05 22:51:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @UKInfidel: #IslamExposed: Rapejihad in Sydney: Victim Breaks Two-Decade Silence: https://t.co/l8SlWEynGd

#Australia 🇦🇺

#auspol

#rape…",Rapejihad Sydney Victim Breaks Two-Decade Silence 🇦🇺 …,"Sentiment(polarity=-0.07500000000000001, subjectivity=0.05)",-0.07500000000000001,0.05,en,0,14,UKInfidel,True,"IslamExposed, Australia, auspol",UKInfidel,Location: Dar al-Harb,
1225190316220784641,Wed Feb 05 22:51:48 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The truth is that many spanish clubs 'security' employee, as well as the police &amp; the #judiciary system often engag… https://t.co/pyiMQqHjFG",The truth spanish clubs 'security employee police amp system engag…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,AceBeaty,False,judiciary,,The Land of The Good Groove 🎹,
1225187953112014848,Wed Feb 05 22:42:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @joelle47019650: If you got Cows Breast Milk. It’s coz we haven’t 
Choose Compassion 

#Februdairy #February2020 
#EndSpeciesism 
#GoVeg…",If Cows Breast Milk It ’ s coz haven ’ t Choose Compassion …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,73,yasuhisa_i,,"Februdairy, February2020, EndSpeciesism",joelle47019650,yokohama,
1225187104407187456,Wed Feb 05 22:39:03 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HillaryClinton Deluding URself. Nothing more reckless than @BillClinton indiscretion+UR stance against a young… https://t.co/QAW8KqngGR,Deluding URself Nothing reckless indiscretion+UR stance a young…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Impossible2ForG,False,,"HillaryClinton, BillClinton",,
1225186267194970112,Wed Feb 05 22:35:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @joelle47019650: If you got Cows Breast Milk. It’s coz we haven’t 
Choose Compassion 

#Februdairy #February2020 
#EndSpeciesism 
#GoVeg…",If Cows Breast Milk It ’ s coz haven ’ t Choose Compassion …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,73,Lisa41300179,,"Februdairy, February2020, EndSpeciesism",joelle47019650,,
1225185860527718401,Wed Feb 05 22:34:06 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @HappyCentrist: @_Kristine_A “Rapists aren’t always monsters”  - really? . So, when #BillCosby dies the world should mourn him for his w…",“ Rapists aren ’ t monsters ” So dies world mourn w…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,18,AgaPi_GioVanna,,BillCosby,"HappyCentrist, _Kristine_A",Cyprus,
1225185719364268032,Wed Feb 05 22:33:33 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @StacyPereira89: Karnataka High Court- Cancels the bail plea of rape accused godman Nithyanada. Asks agency to take him under custody. B…,Karnataka High Court- Cancels bail plea rape accused godman Nithyanada Asks agency custody B…,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)",0.16,0.5399999999999999,en,0,5,M2L2T5,,,StacyPereira89,,
1225182253279596555,Wed Feb 05 22:19:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kimpriestap @UtahGOP Ughh no he just doesn't support criminal activities and #pedophiles which @kimpriestap… https://t.co/4EhWnwYEf0,Ughh n't support criminal activities …,"Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,en,0,0,ThenewV1111,,pedophiles,"kimpriestap, UtahGOP, kimpriestap",,
