id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1225253165454548992,Thu Feb 06 03:01:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SpeakerPelosi You are a sad excuse for an American.
I truly feel sorry for the people in your district. #fraud #liar",You a sad excuse American I feel people district,"Sentiment(polarity=-0.18333333333333335, subjectivity=0.35000000000000003)",-0.18333333333333335,0.35000000000000003,en,0,0,BillGriffis,,"fraud, liar",SpeakerPelosi,"Reading, PA",
1225253070713561090,Thu Feb 06 03:01:10 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@Mish500 @dbongino Yeah he has so much faith and is soooo religious that he backed stabbed the President who fights… https://t.co/aPSv5srTDu,Yeah faith soooo religious backed stabbed President fights…,"Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25,en,0,0,reformliberals,,,"Mish500, dbongino",,
1225252981949554688,Thu Feb 06 03:00:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AlfonzoCortez4: 🔻 flu shots    #vaccines #fraud https://t.co/VWbsf6j7Dm,flu shots,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,115,Hearts4America,False,"vaccines, fraud",AlfonzoCortez4,🕊The DOME🦅Feeding🙉🙊🙈🐥,
1225252896624611329,Thu Feb 06 03:00:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@leftwingevil @GailAnnFuller @CBCAlerts You have Trudeau’s Transcript but have never seen Trump’s tax returns. #fraud,You Trudeau ’ s Transcript Trump ’ s tax returns,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RJBrown46975645,,fraud,"leftwingevil, GailAnnFuller, CBCAlerts",World ,
1225252881571254272,Thu Feb 06 03:00:25 +0000 2020,"<a href=""https://www.iwantclips.com"" rel=""nofollow"">iWantClips</a>",#Intox #Brainfuck #Blackmail and MORE! Get your Demona Clip right now! @iWantClips https://t.co/VVk1lO6sHb https://t.co/MNGpOXFYiZ,MORE Get Demona Clip,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,Lady_Demona1,False,"Intox, Brainfuck, Blackmail",iWantClips,"Düsseldorf, Deutschland",
1225252689535172609,Thu Feb 06 02:59:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Worst hotel and room service provider @oyorooms They are cheaters (creep in hateful words). I had a bad experience… https://t.co/pTku1BDGCQ,Worst hotel room service provider They cheaters creep hateful words I a bad experience…,"Sentiment(polarity=-0.8499999999999999, subjectivity=0.8333333333333333)",-0.8499999999999999,0.8333333333333333,en,0,0,dcapturedmoment,False,,oyorooms,"New Delhi, India",
1225252662469431296,Thu Feb 06 02:59:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Buyer beware! @BB_Express will steal your money, never ship your items, ignore all emails, &amp; put you on hold for ov… https://t.co/9qnBns7iAp",Buyer beware steal money ship items ignore emails amp put hold ov…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,jayesimp,,,BB_Express,"Southlake, TX",
1225252270985695232,Thu Feb 06 02:58:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@BrandonBeckham_ @realDonaldTrump @WhiteHouse @TeamTrump Wholesome policies like raping women and caging children.… https://t.co/ith7ViIEIL,Wholesome policies raping women caging children.…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Psychonaut88,,,"BrandonBeckham_, realDonaldTrump, WhiteHouse, TeamTrump",,
1225252019801382917,Thu Feb 06 02:57:00 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Moving company foreman enters guilty plea for racketeering conspiracy

https://t.co/KyoN1OFfgS

#Trucking #Crime… https://t.co/AIA0ElBVBi",Moving company foreman enters guilty plea racketeering conspiracy …,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,0,Land_Line_Mag,False,"Trucking, Crime",,"Grain Valley, Missouri",
1225251949462740992,Thu Feb 06 02:56:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @talktomyface123: @IamAsimRiaz1 Hello @MahaCyber1 
@CPMumbaiPolice @MumbaiPolice
In #bb13 each n every contestant is nominated but there…",Hello In n contestant nominated there…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,12,RoliYad73130282,,bb13,"talktomyface123, IamAsimRiaz1, MahaCyber1, CPMumbaiPolice, MumbaiPolice",,
1225251939543326720,Thu Feb 06 02:56:41 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @EpochOpinion: Opinion💭by @JohnStossel

A South Carolina law bans playing pinball if you’re under 18—just one of America’s many ridiculo…",Opinionby A South Carolina law bans playing pinball ’ 18—just America ’ s ridiculo…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,31,Michael58052870,,,"EpochOpinion, JohnStossel",,
1225251769917243397,Thu Feb 06 02:56:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Renee_Unterman: Mitt #Romney is a total attention-seeking #fraud. He will be remembered as a weak, envious man who put his own need for…",Mitt a total attention-seeking He remembered a weak envious man put for…,"Sentiment(polarity=-0.1875, subjectivity=0.6875)",-0.1875,0.6875,en,0,4,JVIII3,,"Romney, fraud",Renee_Unterman,"Atlanta, GA",
1225251672819023872,Thu Feb 06 02:55:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Shreya21759039: Hello @MahaCyber1 
@CPMumbaiPolice @MumbaiPolice
In #bb13 each n every contestant is nominated but there is no VOTE opt…",Hello In n contestant nominated VOTE opt…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,5,Iamsudip6,,bb13,"Shreya21759039, MahaCyber1, CPMumbaiPolice, MumbaiPolice",,
1225251572441067522,Thu Feb 06 02:55:13 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Renee_Unterman: Mitt #Romney is a total attention-seeking #fraud. He will be remembered as a weak, envious man who put his own need for…",Mitt a total attention-seeking He remembered a weak envious man put for…,"Sentiment(polarity=-0.1875, subjectivity=0.6875)",-0.1875,0.6875,en,0,4,gapundit,,"Romney, fraud",Renee_Unterman,"Atlanta, Georgia",
1225251564169891840,Thu Feb 06 02:55:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hello @MahaCyber1 
@CPMumbaiPolice @MumbaiPolice
In #bb13 each n every contestant is nominated but there is no VOTE… https://t.co/GTcJC7VOxq",Hello In n contestant nominated VOTE…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,HassanA77287787,,bb13,"MahaCyber1, CPMumbaiPolice, MumbaiPolice",,
1225251486390722560,Thu Feb 06 02:54:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MaraGay @AOC How’s your campaign finance violation case going? And the case where you funneled a cool MIL from a P… https://t.co/iEUZMoLDTD,How ’ s campaign finance violation case And case funneled a cool MIL a P…,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,0,MyFairLady007,,,"MaraGay, AOC","New York, USA",
