original_text,hashtags,class_value
"Besq SCOTUS Ethics WhyWeHteLwyers
Procedure is not justice. Procedure devoid of justice is utterly https://t.co/644t5Sb9zN","SCOTUS, Ethics, WhyWeHateLawyers, Procedure, justice",1
"The Continuation of a Show. 
The Side look. I liked it
Model JosephineSkr","Continuation, Show, Side, JosephineSkr, murder, killed",4
"Very excited for the Y7 Manchester Athletics competition this afternoon at the Etihad. Y7 running longjump  shot, killed, murder","Y7, running, longjump, killed, shot, murder",4
"SayftyCom: Today on VOTW continuing our discussions about childabuse, let's talk laws against this across the world and specifically","VOTW, childabuse",3
Cotswold District Council will continue its work to raise awareness around DomesticAbuse and improving access to s https://t.co/VuI01EdBn7,DomesticAbuse,3
"glasgow sexworkers robbery knife, 2 reports in the same evening https://t.co/YIPqn8FcZL","glasgow, sexworkers, robbery, knife",2
How can the UK lose such a vital platform for domesticabuse victims?! Surely there must be another channel that ca https://t.co/dKMWFK1UWH,domesticabuse,3
2 men who caused crash that killed Jesse Esphorst Jr. in Torrance convicted of manslau - Jan 22  11:09 PM ET https://t.co/LC7ltMuY4f,"killed, Jesse, Torrance, manslau",4
"AlphaPatriotUS: �So, DonLemon allegedly assault ed &amp; stuck his hand down the pants of another man and forcibly rubbed the same finge","DonLemon, assault, pants",3
"ToulasTake: The incredible JulieSLalonde gave us her time for this important story on femicide, domesticabuse &amp; stalking. I�ve had","femicide, domesticabuse, stalking",3
dolphinangels1: Aquariums are good at dressing up the living tragedy of my life as fun &amp; u readily believe. Bc people do NOT THINK or,"Aquariums, fun",4
guerra_sahara: vankaas BEWARE mrcc state spnsred FRAUD/ CRRUPTIN.Mrcc has N svereignty in ��WesternSahara &amp; VILATES,"morocco, FRAUD, CORRUPTION, Morocco, WesternSahara",5
"MPSWestminster: Last night officers on proactive Robbery patrol in OxfordStreet recovered this half-metre machete

Male charged with","Robbery, OxfordStreet",2
relkrnmehr nishrwl get_repost rape cn stop when our mindset will chnge ginst Women nd Men We shou https://t.co/nfvgMTEoND,"Rape, Women, Men",1
"missdkingsbury: Fraud Is Eroding The Customer Experience by Hyken
 https://t.co/V7MHmwfh91 CustomerExperience infosec cybersecurit","Fraud, CustomerExperience, infosec",5
pqlaurie: essenviews People can say it is just politics. The thing is that is not true. Either one supports racism or not. Same for ,racism,1
Hee hee by me :) killer hee hee murder art sketch drawing ink work doodle workdoodle hammer black https://t.co/DDOzv9ilhU,"killer, hee, hee, murder, art, sketch, drawing, ink, work, doodle, workdoodle, hammer, black",4
waynezurl: A good book &amp; a beautiful Irish girl. Where�s the mystery?,"series, murder",4
"TheFTProphet: The New Orleans Saints 
seek to prevent the release of emails related to their work to help the Church on the Catholic a",Saints,3
AnAllyToMany: A thread of reasons to 'why she won't leave' when experiencing DomesticAbuse CoerciveControl. Would add economic/financ,"DomesticAbuse, CoerciveControl",3
The line up tourdownunder southaustralia bikerace wine champagne photograhher woodside adelaidehills https://t.co/NFCuDeeRUM,"tourdownunder, southaustralia, bikerace, wine, champagne, photograhher, woodside, adelaidehills",4
"NAMIMass: PTSD: Traumatic events, such as military combat, assault, disasters or sexualassault can have long-lasting negative effe","military, combat, assault, disasters, sexualassault",3
"nitin33K: SwamiGeetika When will get Justice for them who being mentally Rape d for yrs... by FakeCases ???
LegalTerrorism
Encoun","Justice, Rape, FakeCases, LegalTerrorism",1
"pamelaspurling: But it�s still ChildAbuse no matter how/where/by whom it�s happening, that, and it�s still SexualAbuseAndExploitation","ChildAbuse, SexualAbuseAndExploitation",3
"TrueCrimeTroy: Born in Fargo, sentenced to hang in Alaska, freed through a legal technicality and went on to become a serialkiller i","Fargo, Alaska, serialkiller",4
CATSwits: Northern Ireland RedressScheme Opens - �Switalskis� ChildAbuse NorthernIreland CSA  https://t.co/aBRMwaai6h,"RedressScheme, ChildAbuse, NorthernIreland, CSA",3
"BornOnAFri: MarshaBlackburn
Are you aware that ghosting is a crime? ghostemployment is a criminaloffense.
When you are taking a pay","ghosting, ghostemployment, criminaloffense",5
"Crime_Voice: Burglar cuts a hole in ceiling of Sonora business, theft, robbery, theives
california crime news arrestnews localc","california, crime, news, arrestnews, burglary, theft, robbery",2
"An insight into how thieves tend to gain access. 
burglary locksmith","burglary, locksmith",2
"SusanneKnight: Mystery &amp; Suspense Collection!

romance writingcommunity AmReading readers novels murder

COMPETITORS!
TAINTED TE","Suspense, romance, writingcommunity, AmReading, readers, novels, murder",4
"Meghan did VERY good to move to Canada, however she needs to delete ftom her Consciousness EVERYTHING that caused https://t.co/ZNt7enGgot","Meghan, Canada",3
PulpNews: Police: 16-year-old boy with autism killed in intentionally-set house fire - Jan 21  5:43 PM ET https://t.co/LIGWaYA08E,"Police, killed, house, fire",4
yourheroes  yourmonsters yourlife nypd spd bcso tx civilrights ssult murder rape theft de lirs https://t.co/8yZnXVZZfN,"yourheroes, yourmonsters, yourlife, nypd, sapd, bcso, tx, civilrights, assault, murder, rape, theft, dea, liars",1
Victim of alleged abuse by parole officer: 'It's hard to talk about' - Jan 24  5:56 AM ET https://t.co/BmIWsNM0Qj,"Victim, abuse, parole",3
"ProfitDoctor_: mirandadevine Exactly. BEFORE ClimateChange was known, a 1939 Royal Commission said undegrowth control was essential","ClimateChange, Royal, Commission",3
"InlightenG: dumptrump impeachandremovetrump wakeupamerica wakeupworld wakeuppeople corruption fraud
What do you think? https://t","dumptrump, impeachandremovetrump, wakeupamerica, wakeupworld, wakeuppeople, corruption, fraud",5
"___lor__: thank you.

transMan transmen ftm Lesbian bodyDysmorphic anxiety sexualization society rape fear depression power","transMan, transmen, ftm, Lesbian, bodyDysmorphic, anxiety, sexualization, society, rape, fear, depression, power",1
Spinl surgeon ccused of 'condom lie' weeps s he is clered of rape - Jn 22  12:48 M ET https://t.co/7Z4zS26EUQ,rape,1
"sifchandigarh: As per NCRB 2018 ::

Cases reported in India �� 
In IPC 498A 
Cases - 1,03,272 
Conviction rate - 13 %..

In IPC 376 R�",498A,1
How 'Grand Theft Auto' kingpin Robert Alexander gambled his fortune away - New Yor https://t.co/wkAgF1zlTC Get Your Custom Pop Alert!,"Theft, kingpin, Robert, Alexander, gambled, fortune",2
" Forensic Psychitrist testified Fridy t Harvey Weinstein�s sex-crimes Tril, ttempting to dispel �Myths� https://t.co/FPGFWRBPjy","Forensic, Psychiatrist, Harvey, Weinstein, Trial, Myths",1
himself could not so do sound and wicked dreams abuse ��,abuse,3
